City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
214,Tazovskiy,RU,67.4667,78.7,57.52,66,100,9.66,overcast clouds
215,Nemuro,JP,43.3236,145.575,65.07,94,95,10.25,overcast clouds
216,Esperance,AU,-33.8667,121.9,53.55,90,100,18.52,light rain
217,Geraldton,AU,-28.7667,114.6,57.61,94,75,8.05,broken clouds
218,Chabahar,IR,25.2919,60.643,86.54,72,100,6.73,overcast clouds
219,Camiri,BO,-20.05,-63.5167,47.71,67,76,3.33,broken clouds
220,Pareora,NZ,-44.4871,171.2132,59.18,51,3,34.67,clear sky
221,Hamilton,US,39.1834,-84.5333,74.75,95,100,8.05,mist
222,Komsomolskiy,UZ,40.4272,71.7189,79.52,31,0,9.22,clear sky
223,Ozernovskiy,RU,51.5,156.5167,55.36,96,100,5.86,overcast clouds
224,Moralillo,MX,22.2167,-97.9,84.43,74,40,17.27,scattered clouds
225,Preobrazheniye,RU,42.9019,133.9064,67.37,77,88,7.31,light rain
226,Riyadh,SA,24.6877,46.7219,86.14,13,1,8.55,clear sky
227,Nisia Floresta,BR,-6.0911,-35.2086,73.78,84,12,8.57,few clouds
228,Khilok,RU,51.3674,110.4676,76.6,32,7,3.58,clear sky
229,Los Banos,PH,14.1667,121.1833,81.79,72,98,2.13,overcast clouds
230,Iwaki,JP,37.05,140.8833,89.02,63,100,3.0,overcast clouds
231,Sorland,NO,67.667,12.6934,51.66,87,100,18.61,overcast clouds
232,Soledad,CO,10.9184,-74.7646,80.73,89,75,6.91,broken clouds
233,Aswan,EG,24.0934,32.907,83.5,21,0,5.75,clear sky
234,San Jose De Gracia,MX,20.6667,-102.5833,60.3,93,99,5.66,overcast clouds
235,Zhigansk,RU,66.7697,123.3711,54.27,84,100,9.69,overcast clouds
236,Iqaluit,CA,63.7506,-68.5145,40.73,86,75,2.3,broken clouds
237,Pedernales,DO,18.0384,-71.744,81.0,75,4,10.87,clear sky
238,Auki,SB,-8.7676,160.7034,86.68,55,2,4.45,clear sky
239,Fort Nelson,CA,58.8053,-122.7002,76.59,44,75,0.0,broken clouds
