City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
430,Kiunga,PG,82.92,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
432,Umm Lajj,SA,82.56,scattered clouds,25.0213,37.2685,Moon light Furnished Units
436,Savannah Bight,HN,82.94,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
438,Misawa,JP,81.61,scattered clouds,40.6836,141.3597,Hoshino Resorts Aomoriya
439,Bocas Del Toro,PA,80.11,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
442,Paka,MY,82.33,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
443,Codajas,BR,79.03,broken clouds,-3.8367,-62.0569,Atlântic Hotel
444,Conde,BR,71.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
446,Djibo,BF,80.8,broken clouds,14.1022,-1.6306,Centre Des Ressources DPENA
447,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
448,Derzhavinsk,KZ,71.53,broken clouds,51.1,66.3167,Ooo.khim Baza
449,Koutiala,ML,77.76,light rain,12.3917,-5.4642,Hotel La Chaumiere
450,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
455,Puerto Carreno,CO,75.94,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
457,Duluth,US,81.18,clear sky,46.7833,-92.1066,South Pier Inn
458,Botou,CN,90.61,clear sky,38.0667,116.5667,Hanting Hotel Huanghua City Hall
460,Natal,BR,73.62,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
461,Marrakesh,MA,77.07,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
462,Arona,ES,71.91,clear sky,28.0996,-16.681,Paradise Court
463,Xapuri,BR,72.84,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
464,Siocon,PH,79.38,overcast clouds,7.7061,122.1353,ABS Hotel
466,Amahai,ID,78.35,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
468,Martapura,ID,80.69,light rain,-3.4167,114.85,Montana Hotel Syariah
469,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
471,Kieta,PG,86.09,clear sky,-6.2167,155.6333,Uruna Bay Retreat
472,Asyut,EG,78.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
474,Kapuskasing,CA,77.09,haze,49.4169,-82.4331,Park Inn Motel
477,Jalu,LY,78.06,clear sky,29.0331,21.5482,صاحبة الفخامة
481,Fiumicino,IT,79.63,clear sky,41.7675,12.2291,Hotel Al Porticciolo
482,Juegang,CN,86.92,overcast clouds,32.3174,121.1855,Rudong Y Hotel
483,Vilyuysk,RU,71.04,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
485,Lazaro Cardenas,MX,81.3,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
